TagName,Count
"rust-cargo","2352"
"lifetime","1831"
"traits","1824"
"borrow-checker","1561"
"rust-tokio","1253"
"generics","1137"
"serde","966"
"iterator","918"
"multithreading","769"
"string","621"
"closures","612"
"reference","601"
"vector","594"
"struct","578"
"macros","571"
"ffi","571"
"ownership","558"
"actix-web","522"
"enums","511"
"asynchronous","470"
"arrays","448"
"types","441"
"rust-diesel","436"
"webassembly","420"
"async-await","415"
"windows","408"
"json","363"
"python","362"
"rust-macros","359"
"c","355"
